ID,Name,Price,Brand,Model,Year,Kilometers,Gearbox,Fuel,Status,CC,Seating Capacity
11530130,2010 Toyota Rukus Build 2 AZE151R,9999,Toyota,Rukus,2010,263000,Automatic,Unleaded Petrol, Used,2362,5
12190570,2021 Mercedes-Benz V 250 D Avantgarde MWB 447 MY21,117990,Mercedes-Benz,V,2021,19,Automatic,Diesel, New In Stock,2143,7
12321855,2021 Mercedes-Benz Valente 116 CDI MWB RWD 447 MY21,79990,Mercedes-Benz,Valente,2021,24,Automatic,Diesel, New In Stock,2143,8
12346971,2010 Mercedes-Benz E250 CDI Avantgarde 207,34990,Mercedes-Benz,E250,2010,120579,Automatic,Diesel, Used,2143,4
12363884,2016 Holden Cruze CD JH MY16,15990,Holden,Cruze,2016,72506,Automatic,Unleaded Petrol, Used,1796,5
12366036,2017 Nissan X-Trail ST (4WD) T32 Series 2,26800,Nissan,X-Trail,2017,121870,Automatic,Unleaded Petrol, Used,2488,5
12370057,2016 Ford Territory TX (rwd) SZ MK2,23990,Ford,Territory,2016,154136,Automatic,Diesel, Used,2720,5
12381448,2011 BMW 325I Exclusive E90 MY11,18990,BMW,325I,2011,117306,Automatic,Premium Unleaded Petrol, Used,2497,5
12382945,2005 Holden Statesman International WL,15490,Holden,Statesman,2005,172151,Automatic,Unleaded Petrol, Used,5665,5
12382946,2003 Holden Commodore Berlina Vyii,15490,Holden,Commodore,2003,186990,Automatic,Unleaded Petrol, Used,5665,5
12382955,2015 Isuzu D-MAX SX (4X2) TF MY15,15490,Isuzu,D-MAX,2015,231907,Manual,Diesel, Used,2999,2
12382958,2013 Ford Focus Ambiente LW MK2,12490,Ford,Focus,2013,64109,Manual,Unleaded Petrol, Used,1596,5
12403536,2013 Hyundai Elantra Active MD2,13500,Hyundai,Elantra,2013,84500,Automatic,Unleaded Petrol, Used,1796,5
12405893,2020 Hyundai Santa FE Active MPI (2WD) TM.2 MY20,39880,Hyundai,Santa FE,2020,57683,Automatic,Unleaded Petrol, Used,3470,7
